City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,69.8,63,0,12.21,clear sky
1,Mashhad,IR,36.297,59.6062,53.74,62,40,11.5,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,74.05,88,100,19.3,light rain
3,Hobart,AU,-42.8794,147.3294,55.26,96,75,3.44,broken clouds
4,Busselton,AU,-33.65,115.3333,56.25,66,2,18.28,clear sky
5,Sakakah,SA,29.9697,40.2064,78.37,50,44,12.93,scattered clouds
6,Mataura,NZ,-46.1927,168.8643,46.78,98,100,3.29,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,74.79,33,6,16.96,clear sky
8,Albany,US,42.6001,-73.9662,43.57,77,100,1.01,overcast clouds
9,Lavrentiya,RU,65.5833,-171.0,15.24,75,14,5.86,few clouds
10,East London,ZA,-33.0153,27.9116,70.74,60,0,31.07,clear sky
11,Port Elizabeth,ZA,-33.918,25.5701,74.1,62,20,27.63,few clouds
12,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,69,20,11.5,few clouds
13,Bluff,NZ,-46.6,168.3333,48.22,72,65,11.83,broken clouds
14,Butaritari,KI,3.0707,172.7902,80.04,72,90,10.74,overcast clouds
15,Victor Harbor,AU,-35.5667,138.6167,59.0,88,39,3.0,scattered clouds
16,Qaanaaq,GL,77.484,-69.3632,5.68,80,98,3.22,overcast clouds
17,Zhigansk,RU,66.7697,123.3711,-7.55,98,100,11.61,overcast clouds
18,Zeya,RU,53.75,127.2667,14.02,92,53,3.44,broken clouds
19,Hilo,US,19.7297,-155.09,69.24,84,0,6.91,clear sky
20,Acapulco,MX,16.8634,-99.8901,76.82,88,40,0.0,scattered clouds
21,Punta Arenas,CL,-53.15,-70.9167,53.71,54,0,13.8,clear sky
22,Jamestown,US,42.097,-79.2353,33.53,78,100,9.22,light snow
23,Trelew,AR,-43.249,-65.3051,65.3,57,100,12.62,overcast clouds
24,Tiksi,RU,71.6872,128.8694,-19.8,100,100,1.48,overcast clouds
25,Nuuk,GL,64.1835,-51.7216,27.21,80,75,10.36,broken clouds
26,Brownsville,US,25.9018,-97.4975,55.35,65,100,10.36,overcast clouds
27,Birao,CF,10.2849,22.7882,95.22,15,0,8.43,clear sky
28,Victoria,HK,22.2855,114.1577,80.19,85,10,8.99,clear sky
29,Quepos,CR,9.4236,-84.1652,74.35,87,44,4.09,scattered clouds
30,Naryan-Mar,RU,67.6713,53.087,10.29,97,94,6.87,overcast clouds
31,Nikolskoye,RU,59.7035,30.7861,44.49,71,100,8.7,overcast clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,69.55,84,71,4.0,broken clouds
33,Alexandria,EG,31.2156,29.9553,74.3,57,9,15.23,clear sky
34,Vaini,TO,-21.2,-175.2,76.73,84,98,23.29,light rain
35,Kodiak,US,57.79,-152.4072,36.91,93,100,4.61,overcast clouds
36,Ahipara,NZ,-35.1667,173.1667,56.79,90,9,7.27,clear sky
37,New Norfolk,AU,-42.7826,147.0587,54.91,88,100,2.46,light rain
38,Lyubim,RU,58.3625,40.6843,37.81,79,100,16.6,overcast clouds
39,Abu Dhabi,AE,24.4667,54.3667,87.91,61,0,11.5,clear sky
40,Bethel,US,41.3712,-73.414,49.46,84,100,5.01,overcast clouds
41,Algiers,DZ,36.7525,3.042,75.02,38,0,6.91,clear sky
42,Lerwick,GB,60.1545,-1.1494,53.6,94,87,18.45,overcast clouds
43,Sistranda,NO,63.7256,8.834,46.36,81,98,9.84,overcast clouds
44,Vila Velha,BR,-20.3297,-40.2925,82.35,76,40,10.36,scattered clouds
45,Kloulklubed,PW,7.0419,134.2556,77.5,76,81,13.6,broken clouds
46,Adrar,MR,20.5022,-10.0711,85.6,9,60,15.75,broken clouds
47,Saint George,US,37.1041,-113.5841,36.79,60,75,0.0,broken clouds
48,Port Alfred,ZA,-33.5906,26.891,69.19,69,18,11.99,few clouds
49,Fairbanks,US,64.8378,-147.7164,19.09,88,0,0.0,clear sky
50,Muhldorf,DE,48.25,12.5333,55.6,85,4,11.83,clear sky
51,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,79,54,1.72,broken clouds
52,Ushuaia,AR,-54.8,-68.3,53.26,43,0,3.44,clear sky
53,Evensk,RU,61.95,159.2333,17.22,94,100,5.86,light snow
54,Esperance,AU,-33.8667,121.9,56.07,67,97,11.9,overcast clouds
55,Sorland,NO,67.667,12.6934,48.06,84,74,19.37,broken clouds
56,Freeport,US,40.6576,-73.5832,53.02,83,100,13.8,overcast clouds
57,Nantucket,US,41.2835,-70.0995,60.91,94,100,6.91,mist
58,Saskylakh,RU,71.9167,114.0833,-7.06,97,100,13.49,overcast clouds
59,Khash,IR,28.2211,61.2158,68.7,30,78,14.79,broken clouds
60,Riyadh,SA,24.6877,46.7219,87.94,20,0,4.83,clear sky
61,Mar Del Plata,AR,-38.0023,-57.5575,64.94,95,100,8.01,mist
62,Tasiilaq,GL,65.6145,-37.6368,41.16,72,100,21.39,overcast clouds
63,Tuatapere,NZ,-46.1333,167.6833,46.29,95,93,4.32,overcast clouds
64,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,72,40,10.83,scattered clouds
65,Buarcos,PT,40.166,-8.8768,74.23,78,90,14.29,overcast clouds
66,Gigmoto,PH,13.7796,124.39,81.41,84,65,9.28,broken clouds
67,Saint-Philippe,RE,-21.3585,55.7679,80.19,73,27,6.96,scattered clouds
68,Nyuksenitsa,RU,60.4128,44.2397,33.82,83,100,15.26,overcast clouds
69,Westport,US,41.1415,-73.3579,51.84,82,100,9.22,overcast clouds
70,Ordu,TR,40.9086,37.6845,46.9,71,27,4.5,scattered clouds
71,Korla,CN,41.7597,86.1469,40.28,42,0,5.12,clear sky
72,Ribeira Grande,PT,38.5167,-28.7,64.8,68,20,13.8,few clouds
73,Nhulunbuy,AU,-12.2333,136.7667,83.01,78,85,4.61,overcast clouds
74,Trairi,BR,-3.2778,-39.2689,86.41,58,73,12.24,broken clouds
75,Kamenka,RU,51.3223,42.7678,47.1,62,67,22.46,broken clouds
76,Masingbi,SL,8.7833,-11.95,86.99,63,25,2.13,light rain
77,Udachnyy,RU,66.4167,112.4,-24.56,67,97,6.2,overcast clouds
78,Beringovskiy,RU,63.05,179.3167,10.4,98,100,4.18,overcast clouds
79,Castro,BR,-24.7911,-50.0119,70.68,67,94,8.93,overcast clouds
80,Mugur-Aksy,RU,50.35,90.5,13.06,87,100,6.46,overcast clouds
81,Cape Town,ZA,-33.9258,18.4232,74.88,52,20,10.0,few clouds
82,Atuona,PF,-9.8,-139.0333,77.56,76,20,19.84,few clouds
83,Eskisehir,TR,39.7767,30.5206,60.71,39,0,2.3,clear sky
84,Kavieng,PG,-2.5744,150.7967,82.38,81,100,14.83,light rain
85,Sinnamary,GF,5.3833,-52.95,79.36,84,98,8.05,overcast clouds
86,Leningradskiy,RU,69.3833,178.4167,-0.44,96,99,7.11,overcast clouds
